"country","region","year","sex","age_group","percent_of_cvd_deaths","trans_fat_pct_kcal_day","sodium_g_per_day","fiber_g_per_day","fruit_g_per_day","legumes_g_per_day","mean_prev_overweight","mean_change_overweight","mean_prev_obese","mean_change_obese","smoking_or_tobacco_use","gdp_billions"
"Slovenia","Central Europe",2019,"Female","50-54 years",9.91555349367969,0,3.97932831299972,16.7163411805703,194.163150886064,11.7595611944685,0.227192670872425,-0.0836491325947817,0.428719856831336,0.6750639593884,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","55-59 years",19.5404250716513,0,5.76701592109631,17.5256721274989,217.452449712129,10.2041337766623,0.371919795521191,-0.0874412351931825,0.42161371302466,0.495790746792819,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","55-59 years",10.6800861908466,0,3.97230551691785,17.5200933989522,210.16611106659,11.7989115714217,0.237393238613253,-0.144610944448578,0.46984278653827,0.524221093287604,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","60-64 years",21.1596739165726,0,5.7127441950946,17.8136367942461,223.60354644956,10.090075600191,0.356501753300695,-0.0969306364443782,0.431604813693619,0.462324992081795,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","60-64 years",13.7111550813459,0,3.94227954452291,17.6028760045463,218.063379707572,11.5677681534414,0.265274558794161,-0.114780516508925,0.490755715185567,0.574893923748917,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","65-69 years",23.143790173238,0,5.8152886061986,17.3132367642143,219.831319056049,9.78276560601333,0.356067766156323,-0.0949076387432902,0.432008945907854,0.438587116332586,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","65-69 years",17.2524964987198,0,4.16164386943538,17.2617477596257,212.444539661618,11.187813060161,0.253925155153053,-0.137979235139985,0.51039412630427,0.482618210452647,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","70-74 years",28.3699271806521,0,6.32783260886168,16.7932894471364,218.132605777455,9.46782793452788,0.365773614087449,-0.0699898690452129,0.408417558134263,0.478440103099545,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","70-74 years",24.9940875044094,0,4.85067608288529,16.6791878393815,210.274060526671,10.8993672963846,0.287357731179894,-0.0214149089377736,0.473103331574114,0.615324662810313,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","75-79 years",31.1908201068947,0,7.05793513010356,16.3194889108871,212.888733326764,9.1009032636144,0.355575562548148,-0.0387504016468098,0.391547710206182,0.523216109138085,NA,70.868515625
